,0
museum,2635
inc,2507
histor,937
societi,838
foundat,837
"('museum', 'inc')",623
"('histor', 'societi')",561
associ,426
center,420
heritag,362
art,356
counti,352
histori,275
"('foundat', 'inc')",267
"('societi', 'inc')",253
friend,244
hall,238
fame,203
"('hall', 'fame')",199
american,196
garden,176
children,173
preserv,152
"('children', 'museum')",148
nation,147
railroad,140
memori,134
area,132
veteran,131
hous,131
"('center', 'inc')",119
"('counti', 'histor')",117
cultur,117
"('histor', 'museum')",115
"('associ', 'inc')",115
"('museum', 'foundat')",100
"('heritag', 'museum')",98
commun,97
war,97
valley,95
club,91
new,87
educ,84
"('museum', 'associ')",82
militari,81
african,81
"('fame', 'inc')",80
park,80
civil,79
school,75
"('inc', 'friend')",75
sport,73
"('area', 'histor')",72
scienc,72
"('histori', 'museum')",69
aviat,69
incorpor,68
"('civil', 'war')",68
intern,66
"('african', 'american')",65
corpor,65
citi,64
"('inc', 'museum')",63
union,63
farm,63
"('heritag', 'foundat')",63
texa,61
air,60
librari,59
fire,58
north,58
st,57
project,56
west,56
botan,55
daughter,55
antiqu,54
river,54
"('sport', 'hall')",54
"('veteran', 'civil')",52
institut,52
model,52
"('daughter', 'union')",52
"('union', 'veteran')",52
state,51
"('railroad', 'museum')",51
lake,51
archiv,51
"('cultur', 'center')",49
"('museum', 'art')",48
collector,46
"('counti', 'museum')",46
galleri,45
"('preserv', 'societi')",45
maritim,45
"('inc', 'nation')",44
"('art', 'inc')",44
"('botan', 'garden')",44
world,44
"('hous', 'museum')",44
southern,44
"('histor', 'associ')",43
corp,42
island,42
"('heritag', 'center')",42
"('art', 'museum')",42
america,42
old,41
discoveri,41
"('american', 'museum')",40
south,40
"('inc', 'histor')",40
music,39
california,39
"('memori', 'museum')",38
conserv,37
natur,37
"('societi', 'museum')",37
depot,36
famili,36
"('art', 'foundat')",35
"('model', 'railroad')",35
black,35
central,35
trust,35
de,34
"('garden', 'inc')",34
"('heritag', 'societi')",34
"('histor', 'preserv')",34
fund,33
san,33
committe,33
collect,32
"('militari', 'museum')",32
"('aviat', 'museum')",31
ltd,31
hill,31
"('histori', 'center')",31
"('histori', 'inc')",31
research,31
group,30
fort,29
restor,29
coast,29
chapter,29
arboretum,29
council,29
railway,29
region,29
firefight,28
"('museum', 'cultur')",28
learn,28
"('veteran', 'museum')",28
virginia,28
"('nation', 'associ')",27
creek,27
technolog,27
greater,27
"('inc', 'american')",27
mill,27
"('museum', 'american')",27
"('scienc', 'center')",27
"('club', 'inc')",27
"('museum', 'friend')",26
space,26
"('collector', 'inc')",26
clock,26
western,25
john,25
"('clock', 'collector')",25
contemporari,25
main,25
carolina,25
"('educ', 'center')",25
live,25
york,25
town,25
"('museum', 'societi')",25
"('art', 'center')",25
"('veteran', 'memori')",24
watch,24
vintag,24
beach,24
car,24
trail,24
northwest,24
station,24
villag,24
organ,24
"('watch', 'clock')",24
wildlif,24
"('associ', 'watch')",24
pioneer,24
allianc,23
artist,23
mountain,23
"('air', 'museum')",23
fli,23
"('histor', 'foundat')",23
east,23
la,23
classic,22
forc,22
street,22
township,22
legaci,22
northern,22
agricultur,22
"('preserv', 'foundat')",22
home,22
