,0,ngram
"('community', 'foundation')",10,community foundation
"('art', 'history')",9,art history
"('archive', 'inc')",9,archive inc
"('jewish', 'museum')",9,jewish museum
"('los', 'angeles')",9,los angeles
"('rhode', 'island')",9,rhode island
"('inc', 'foundation')",9,inc foundation
"('st', 'paul')",9,st paul
"('museum', 'science')",9,museum science
"('museum', 'st')",9,museum st
"('museum', 'ltd')",9,museum ltd
"('inc', 'greater')",9,inc greater
"('west', 'virginia')",9,west virginia
"('motorcycle', 'museum')",9,motorcycle museum
"('space', 'museum')",9,space museum
"('valley', 'museum')",9,valley museum
"('conservancy', 'inc')",9,conservancy inc
"('museum', 'world')",9,museum world
"('police', 'museum')",9,police museum
"('railroad', 'historical')",8,railroad historical
"('underground', 'railroad')",8,underground railroad
"('educational', 'foundation')",8,educational foundation
"('museum', 'contemporary')",8,museum contemporary
"('art', 'association')",8,art association
"('gardener', 'association')",8,gardener association
"('zoological', 'society')",8,zoological society
"('association', 'friend')",8,association friend
"('organization', 'inc')",8,organization inc
"('school', 'inc')",8,school inc
"('group', 'inc')",8,group inc
"('farm', 'inc')",8,farm inc
"('orange', 'county')",8,orange county
"('center', 'art')",8,center art
"('inc', 'western')",8,inc western
"('childrens', 'discovery')",8,childrens discovery
"('inc', 'st')",8,inc st
"('memorial', 'inc')",8,memorial inc
"('museum', 'daughter')",8,museum daughter
"('charitable', 'foundation')",8,charitable foundation
"('athletic', 'hall')",8,athletic hall
"('commemorative', 'air')",8,commemorative air
"('world', 'war')",8,world war
"('memorial', 'library')",8,memorial library
"('art', 'culture')",8,art culture
"('inc', 'central')",8,inc central
"('railway', 'museum')",8,railway museum
"('agricultural', 'museum')",7,agricultural museum
"('community', 'association')",7,community association
"('baseball', 'hall')",7,baseball hall
"('automotive', 'museum')",7,automotive museum
"('interpretive', 'center')",7,interpretive center
"('law', 'enforcement')",7,law enforcement
"('nonprofit', 'corporation')",7,nonprofit corporation
"('new', 'hampshire')",7,new hampshire
"('black', 'history')",7,black history
"('history', 'project')",7,history project
"('air', 'space')",7,air space
"('american', 'friend')",7,american friend
"('inc', 'cape')",7,inc cape
"('cape', 'cod')",7,cape cod
"('school', 'preservation')",7,school preservation
"('archive', 'museum')",7,archive museum
"('united', 'state')",7,united state
"('st', 'louis')",7,st louis
"('tractor', 'museum')",7,tractor museum
"('historical', 'center')",7,historical center
"('san', 'francisco')",7,san francisco
"('classic', 'car')",7,classic car
"('foundation', 'art')",7,foundation art
"('culture', 'inc')",7,culture inc
"('new', 'orleans')",7,new orleans
"('inc', 'colorado')",7,inc colorado
"('war', 'ii')",7,war ii
"('museum', 'west')",7,museum west
"('county', 'history')",7,county history
"('basketball', 'hall')",7,basketball hall
"('foundation', 'incorporated')",7,foundation incorporated
"('discovery', 'museum')",7,discovery museum
"('museum', 'america')",7,museum america
"('technology', 'museum')",7,technology museum
"('museum', 'california')",7,museum california
"('sport', 'museum')",7,sport museum
"('south', 'dakota')",7,south dakota
"('highrises', 'st')",7,highrises st
"('pha', 'highrises')",7,pha highrises
"('council', 'pha')",7,council pha
"('president', 'council')",7,president council
"('texas', 'inc')",7,texas inc
"('memorial', 'park')",7,memorial park
"('history', 'art')",7,history art
"('civil', 'right')",7,civil right
"('foundation', 'american')",7,foundation american
"('friend', 'museum')",7,friend museum
"('inc', 'southern')",7,inc southern
"('train', 'museum')",7,train museum
"('arboretum', 'inc')",7,arboretum inc
"('museum', 'black')",7,museum black
"('inc', 'red')",7,inc red
"('farm', 'foundation')",7,farm foundation
"('community', 'center')",7,community center
"('railroad', 'society')",7,railroad society
"('preservation', 'group')",7,preservation group
"('museum', 'center')",7,museum center
"('pacific', 'northwest')",7,pacific northwest
"('south', 'carolina')",7,south carolina
"('automobile', 'museum')",6,automobile museum
"('island', 'historical')",6,island historical
"('inc', 'east')",6,inc east
"('masonic', 'library')",6,masonic library
"('mill', 'museum')",6,mill museum
"('cultural', 'art')",6,cultural art
"('inc', 'northern')",6,inc northern
"('museo', 'de')",6,museo de
"('inc', 'washington')",6,inc washington
"('doll', 'museum')",6,doll museum
"('inc', 'long')",6,inc long
"('nj', 'nonprofit')",6,nj nonprofit
"('st', 'john')",6,st john
"('league', 'inc')",6,league inc
"('art', 'league')",6,art league
"('hall', 'museum')",6,hall museum
"('non', 'profit')",6,non profit
"('auto', 'racing')",6,auto racing
"('county', 'heritage')",6,county heritage
"('flight', 'museum')",6,flight museum
"('wildlife', 'museum')",6,wildlife museum
"('society', 'greater')",6,society greater
"('foundation', 'international')",6,foundation international
"('society', 'historic')",6,society historic
"('inc', 'big')",6,inc big
"('inc', 'iowa')",6,inc iowa
"('inc', 'lake')",6,inc lake
"('aviation', 'hall')",6,aviation hall
"('de', 'la')",6,de la
"('park', 'historical')",6,park historical
"('inc', 'louisiana')",6,inc louisiana
"('southern', 'california')",6,southern california
"('power', 'association')",6,power association
"('antique', 'power')",6,antique power
"('artist', 'guild')",6,artist guild
"('village', 'inc')",6,village inc
"('historical', 'genealogical')",6,historical genealogical
"('inc', 'kansa')",6,inc kansa
"('inc', 'virginia')",6,inc virginia
"('history', 'foundation')",6,history foundation
"('visitor', 'center')",6,visitor center
"('international', 'museum')",6,international museum
"('aviation', 'heritage')",6,aviation heritage
"('kansa', 'city')",6,kansa city
"('friend', 'historic')",6,friend historic
"('wayne', 'county')",6,wayne county
"('pioneer', 'museum')",6,pioneer museum
"('education', 'foundation')",6,education foundation
"('pleasant', 'hill')",6,pleasant hill
"('inc', 'center')",6,inc center
"('museum', 'institute')",6,museum institute
"('railway', 'historical')",6,railway historical
"('music', 'museum')",6,music museum
"('heritage', 'inc')",6,heritage inc
"('museum', 'san')",6,museum san
"('natural', 'science')",6,natural science
"('antique', 'tractor')",6,antique tractor
"('holocaust', 'museum')",6,holocaust museum
"('state', 'police')",6,state police
"('art', 'science')",6,art science
"('inc', 'fort')",6,inc fort
"('northern', 'california')",6,northern california
"('gulf', 'coast')",6,gulf coast
"('transportation', 'museum')",6,transportation museum
"('north', 'american')",6,north american
"('aircraft', 'association')",6,aircraft association
"('cultural', 'heritage')",5,cultural heritage
"('fame', 'friend')",5,fame friend
"('inc', 'john')",5,inc john
"('model', 'railroader')",5,model railroader
"('spring', 'museum')",5,spring museum
"('enforcement', 'museum')",5,enforcement museum
"('native', 'american')",5,native american
"('washington', 'county')",5,washington county
"('inc', 'hawaii')",5,inc hawaii
"('museum', 'aviation')",5,museum aviation
"('computer', 'museum')",5,computer museum
"('associate', 'inc')",5,associate inc
"('historial', 'society')",5,historial society
"('state', 'museum')",5,state museum
"('society', 'historical')",5,society historical
"('association', 'national')",5,association national
"('inc', 'la')",5,inc la
"('legacy', 'foundation')",5,legacy foundation
"('maritime', 'heritage')",5,maritime heritage
"('machinery', 'association')",5,machinery association
"('complex', 'inc')",5,complex inc
"('coast', 'guard')",5,coast guard
"('heritage', 'trust')",5,heritage trust
"('flying', 'museum')",5,flying museum
"('model', 'train')",5,model train
"('san', 'diego')",5,san diego
"('world', 'museum')",5,world museum
"('palm', 'beach')",5,palm beach
"('friend', 'old')",5,friend old
"('hall', 'inc')",5,hall inc
"('commission', 'inc')",5,commission inc
"('county', 'childrens')",5,county childrens
"('corp', 'museum')",5,corp museum
"('american', 'west')",5,american west
"('service', 'museum')",5,service museum
