,keyword,ntee_cd,count,Include
0,aquarium,A500,1,1
1,aquarium,A570,1,1
2,aquarium,B60,3,1
3,aquarium,B90,2,1
4,aquarium,C01,1,1
5,aquarium,C03,1,1
6,aquarium,C30,3,1
7,aquarium,C32,2,1
8,aquarium,C42,1,1
9,aquarium,D01,1,1
10,aquarium,D03,6,1
11,aquarium,D030,1,1
12,aquarium,D035,1,1
13,aquarium,D05,1,1
14,aquarium,D11,4,1
15,aquarium,D110,2,1
16,aquarium,D115,5,1
17,aquarium,D20,2,1
18,aquarium,D30,1,1
19,aquarium,D500,14,1
20,aquarium,D51M,1,1
21,aquarium,D60,2,1
22,aquarium,D600,1,1
23,aquarium,D63Z,1,1
24,aquarium,D99,2,1
25,aquarium,N50,7,1
26,aquarium,P20,2,1
27,aquarium,S41,1,1
28,aquarium,T20,1,1
29,aquarium,T30,1,1
30,aquarium,U21,1,1
31,aquarium,U21Z,1,1
32,aquarium,X21,1,1
33,aquarium,Z99,1,1
34,arboretum,A40,1,1
35,arboretum,A60Z,1,1
36,arboretum,A80,2,1
37,arboretum,B99,1,1
38,arboretum,C11,4,1
39,arboretum,C110,1,1
40,arboretum,C114,13,1
41,arboretum,C12,1,1
42,arboretum,C30,1,1
43,arboretum,C30Z,1,1
44,arboretum,C34,1,1
45,arboretum,C410,36,1
46,arboretum,C41I,1,1
47,arboretum,C41Z,1,1
48,arboretum,C42,2,1
49,arboretum,C420,1,1
50,arboretum,C50,1,1
51,arboretum,C600,1,1
52,arboretum,C99,1,1
53,arboretum,D11,1,1
54,arboretum,N11,1,1
55,arboretum,N110,1,1
56,arboretum,N32,2,1
57,arboretum,S20,2,1
58,arboretum,S22,1,1
59,arboretum,S47,1,1
60,arboretum,T20,1,1
61,arboretum,T23,1,1
62,arboretum,T99,1,1
63,arboretum,U50,1,1
64,arboretum,W11,1,1
65,archive,A03,1,1
66,archive,A11,2,1
67,archive,A115,3,1
68,archive,A12,2,1
69,archive,A198,1,1
70,archive,A20,15,1
71,archive,A23,9,1
72,archive,A230,1,1
73,archive,A25,1,1
74,archive,A30,1,1
75,archive,A31,9,1
76,archive,A310,1,1
77,archive,A33,2,1
78,archive,A40,2,1
79,archive,A500,3,1
80,archive,A50I,1,1
81,archive,A540,4,1
82,archive,A68,5,1
83,archive,A70,3,1
84,archive,A76I,1,1
85,archive,A80,49,1
86,archive,A80Z,2,1
87,archive,A82,1,1
88,archive,A82Z,6,1
89,archive,A99,6,1
90,archive,A99Z,1,1
91,archive,B03,1,1
92,archive,B117,3,1
93,archive,B12,2,1
94,archive,B127,1,1
95,archive,B19,1,1
96,archive,B60,1,1
97,archive,B70,23,1
98,archive,B700,1,1
99,archive,B71Z,1,1
100,archive,B73Z,1,1
101,archive,B77I,1,1
102,archive,B77Z,6,1
103,archive,B80,1,1
104,archive,B90,3,1
105,archive,B99,4,1
106,archive,B99M,1,1
107,archive,C34,1,1
108,archive,D19,1,1
109,archive,D99,1,1
110,archive,E70,1,1
111,archive,G81Z,1,1
112,archive,P20,2,1
113,archive,P99,1,1
114,archive,Q055,1,1
115,archive,R26,3,1
116,archive,S03,1,1
117,archive,S20,1,1
118,archive,S41,1,1
119,archive,T11,1,1
120,archive,T22,1,1
121,archive,T23,1,1
122,archive,T300,1,1
123,archive,U20,2,1
124,archive,U41,1,1
125,archive,U99,2,1
126,archive,V23,1,1
127,archive,V30,1,1
128,archive,V32,1,1
129,archive,V33,1,1
130,archive,W01,1,1
131,archive,W20,1,1
132,archive,W99,1,1
133,archive,X01,1,1
134,archive,X20,1,1
135,archive,X30,2,1
136,archive,X50,1,1
137,archive,X80,1,1
138,archive,X83,1,1
139,archive,X99,3,1
140,archive,Z99,2,1
141,archive,Z99Z,2,1
142,art gallery,A01,1,1
143,art gallery,A035,1,1
144,art gallery,A11,1,1
145,art gallery,A110,1,1
146,art gallery,A12,1,1
147,art gallery,A125,1,1
148,art gallery,A20,15,1
149,art gallery,A200,1,1
150,art gallery,A25,6,1
151,art gallery,A40,8,1
152,art gallery,A400,3,1
153,art gallery,A500,1,1
154,art gallery,A50M,1,1
155,art gallery,A510,6,1
156,art gallery,A51Z,3,1
157,art gallery,A540,1,1
158,art gallery,A82Z,1,1
159,art gallery,A90,3,1
160,art gallery,A99,4,1
161,art gallery,P11,1,1
162,art gallery,P193,1,1
163,art gallery,P20,1,1
164,art gallery,P30,2,1
165,art gallery,P31,5,1
166,art gallery,P32,2,1
167,art gallery,P40,1,1
168,art gallery,S41,1,1
169,art gallery,T01,1,1
170,art gallery,T22I,1,1
171,atheneum,A510,1,1
172,atheneum,B90,1,1
173,atheneum,G30,1,1
174,aviary,D053,1,1
175,aviary,D20,1,1
176,aviary,D32,1,1
177,aviary,D32Z,1,1
178,aviary,N50,1,1
179,aviary,P20,1,1
180,bird sanctuary,A20,1,1
181,bird sanctuary,C30,1,1
182,bird sanctuary,C410,1,1
183,bird sanctuary,D113,3,1
184,bird sanctuary,D20,8,1
185,bird sanctuary,D30,3,1
186,bird sanctuary,D32,18,1
187,bird sanctuary,D320,4,1
188,bird sanctuary,D99,1,1
189,bird sanctuary,I400,1,1
190,botanical garden,A510,1,1
191,botanical garden,B90,2,1
192,botanical garden,C01,1,1
193,botanical garden,C11,2,1
194,botanical garden,C114,15,1
195,botanical garden,C12,1,1
196,botanical garden,C124,1,1
197,botanical garden,C40,6,1
198,botanical garden,C410,39,1
199,botanical garden,C41Z,1,1
200,botanical garden,C42,3,1
201,botanical garden,C50,1,1
202,botanical garden,N32,1,1
203,botanical garden,P99,1,1
204,botanical garden,S20,1,1
205,botanical garden,S80,1,1
206,botanical garden,T12,1,1
207,botanical garden,T23,3,1
208,botanical park,C410,1,1
209,collector,A030,1,1
210,collector,A20,3,1
211,collector,A200,1,1
212,collector,A20Z,1,1
213,collector,A23,2,1
214,collector,A25,3,1
215,collector,A40,2,1
216,collector,A400,2,1
217,collector,A500,3,1
218,collector,A51Z,1,1
219,collector,A58Z,2,1
220,collector,A68,1,1
221,collector,A70,2,1
222,collector,A76Z,1,1
223,collector,A80,36,1
224,collector,A82Z,1,1
225,collector,A84,2,1
226,collector,A99,4,1
227,collector,A99Z,1,1
228,collector,B03,3,1
229,collector,B036,1,1
230,collector,B60,1,1
231,collector,B76Z,1,1
232,collector,B82,2,1
233,collector,B82Z,2,1
234,collector,B90,3,1
235,collector,B99,6,1
236,collector,B99Z,1,1
237,collector,C20Z,1,1
238,collector,K20Z,1,1
239,collector,K99,1,1
240,collector,M40,1,1
241,collector,N03,1,1
242,collector,N20,1,1
243,collector,N31,1,1
244,collector,N50,38,1
245,collector,N50Z,2,1
246,collector,N51I,1,1
247,collector,N5XC,1,1
248,collector,N5XZ,3,1
249,collector,N61,3,1
250,collector,N99,1,1
251,collector,P20,3,1
252,collector,S40,3,1
253,collector,S41,9,1
254,collector,S46,5,1
255,collector,T12,1,1
256,collector,T20,1,1
257,collector,T50,1,1
258,collector,T99Z,1,1
259,collector,U30,1,1
260,collector,U99Z,1,1
261,collector,W02,2,1
262,collector,W03,1,1
263,collector,W30,1,1
264,collector,W99,1,1
265,collector,X20,1,1
266,collector,Y11,1,1
267,collector,Y44,1,1
268,collector,Y99,1,1
269,collector,Z99,3,1
270,collector,Z99Z,1,1
271,game park,C300,1,1
272,game park,Z99,1,1
273,game refuge,C30,1,1
274,hall fame,A03,1,1
275,hall fame,A030,1,1
276,hall fame,A033,1,1
277,hall fame,A11,1,1
278,hall fame,A115,3,1
279,hall fame,A12,1,1
280,hall fame,A20,15,1
281,hall fame,A200,1,1
282,hall fame,A23,9,1
283,hall fame,A25,1,1
284,hall fame,A31,1,1
285,hall fame,A34,2,1
286,hall fame,A500,67,1
287,hall fame,A50Z,8,1
288,hall fame,A540,3,1
289,hall fame,A570,3,1
290,hall fame,A57Z,1,1
291,hall fame,A58I,2,1
292,hall fame,A58Z,9,1
293,hall fame,A60,1,1
294,hall fame,A62,2,1
295,hall fame,A68,12,1
296,hall fame,A68Z,1,1
297,hall fame,A6C,2,1
298,hall fame,A8,1,1
299,hall fame,A80,29,1
300,hall fame,A82Z,1,1
301,hall fame,A84,14,1
302,hall fame,A99,4,1
303,hall fame,A99Z,1,1
304,hall fame,B01,2,1
305,hall fame,B03,3,1
306,hall fame,B11,14,1
307,hall fame,B112,2,1
308,hall fame,B119,1,1
309,hall fame,B12,3,1
310,hall fame,B122,1,1
311,hall fame,B19,4,1
312,hall fame,B25,2,1
313,hall fame,B60,2,1
314,hall fame,B77Z,1,1
315,hall fame,B80,3,1
316,hall fame,B80Z,1,1
317,hall fame,B82,38,1
318,hall fame,B82Z,1,1
319,hall fame,B84,13,1
320,hall fame,B84Z,1,1
321,hall fame,B90,4,1
322,hall fame,B94,1,1
323,hall fame,B99,14,1
324,hall fame,C30,1,1
325,hall fame,D99,1,1
326,hall fame,E11,1,1
327,hall fame,E12,1,1
328,hall fame,F21I,1,1
